Metal,ICOHP,ICOOP,ICOBI
Ag,-0.27546,0.01160,0.06105
Au,-0.34250,-0.03166,0.06318
Cd,-0.06146,-0.15644,0.00670
Co,-0.61097,-0.05573,0.18478
Cr,-1.19686,0.06652,0.46348
Cu,-0.29999,-0.04149,0.05778
Fe,-0.75939,-0.05006,0.22160
Hf,-1.28378,0.06000,0.32977
Ir,-0.87901,-0.00182,0.18716
Lu,-4.20624,-0.63032,0.36438
Mn,-1.00603,-0.05400,0.32872
Mo,-1.51264,0.12184,0.46885
Nb,-2.20506,-0.10150,0.44473
Ni,-0.48106,-0.05002,0.12606
Os,-1.16002,0.00925,0.22805
Pd,-0.49862,0.03099,0.11237
Pt,-0.65276,-0.00349,0.13453
Rh,-0.73337,0.02621,0.18110
Ru,-1.20702,0.05258,0.21546
Sc,-0.51420,-0.06815,0.21743
Ta,-0.83856,0.01053,0.36602
Tc,-1.25775,0.05517,0.33688
Ti,-0.87088,-0.03928,0.31649
V,-1.11159,-0.01606,0.41044
W,-1.77454,0.08256,0.46634
Y,-1.02295,-0.07858,0.24969
Zn,-0.07352,-0.19821,0.00665
Zr,-1.75470,-0.13198,0.35614
