Metal,ICOHP,ICOOP,ICOBI
Ag,-0.21334,-0.01721,0.04711
Au,-0.25670,-0.06030,0.04636
Cd,-0.02866,-0.16865,0.00184
Co,-0.57156,-0.09625,0.17560
Cr,-1.26988,0.05941,0.31170
Cu,-0.23625,-0.08142,0.04567
Fe,-0.74595,-0.09491,0.25362
Hf,-1.12519,0.03958,0.31731
Ir,-0.85095,-0.05685,0.17706
Mn,-0.87384,-0.09441,0.30872
Mo,-1.08130,0.05624,0.32896
Nb,-1.64734,-0.13127,0.34201
Ni,-0.39193,-0.08269,0.09597
Os,-1.15440,-0.03871,0.25755
Pd,-0.40353,0.01379,0.08802
Pt,-0.51747,-0.06391,0.09232
Re,-1.33058,-0.01614,0.31228
Rh,-0.66795,-0.01374,0.16041
Ru,-0.91496,0.01569,0.23607
Sc,-0.53629,-0.04333,0.22227
Ta,-1.00158,-0.00195,0.32392
Tc,-1.14582,0.00241,0.31064
Ti,-0.75846,-0.02714,0.31376
V,-0.87301,-0.03974,0.32810
W,-1.38684,0.01731,0.32562
Y,-0.98009,-0.05894,0.25459
Zn,-0.03324,-0.21314,0.00170
Zr,-1.39650,-0.11253,0.32503
